			DocID: 0 <TEXT> Freq=(22) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1046) Rank: 0.0  TF-IDF=(0.0)
maisonneuve			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
make			DocID: 2 <TEXT> Freq=(5) Rank: 0.6041586241692053  TF-IDF=(2.027325540540822), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
makes			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
mammals			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
many			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
map			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
maps			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0)
march			DocID: 2 <TEXT> Freq=(16) Rank: 1.9849316742541248  TF-IDF=(17.577796618689757)
march  			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
mark301			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
mark495			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
matching			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
matter			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
matters			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
maximum			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
may			DocID: 2 <TEXT> Freq=(26) Rank: 2.061540636563278  TF-IDF=(28.563919505370855)
mean			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
measures			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
media			DocID: 0 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0)
medium-sized			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
meet			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
meetings			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
members			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
menu			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
message			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
message:			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
met			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
met’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
minimum			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
minus			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
minutes			DocID: 1 <TEXT> Freq=(2) Rank: 1.6849300998011676  TF-IDF=(2.1972245773362196)
mobile			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
mode			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
modes			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
modify			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
molson			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0)
monday			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
montreal			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
motion			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
move			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
moving			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
multi-component			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
multiple			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
music			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
must			DocID: 2 <TEXT> Freq=(9) Rank: 1.8461941534105861  TF-IDF=(9.887510598012987)
myconcordia			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
myconcordia with			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
name			DocID: 2 <TEXT> Freq=(16) Rank: 1.9849316742541248  TF-IDF=(17.577796618689757)
narrow			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
narrows			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
national			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
navigate			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
nbr			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
nbr’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
nbr”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
necessary			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
need			DocID: 2 <TEXT> Freq=(13) Rank: 1.941639682256172  TF-IDF=(14.281959752685427)
needed			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
netname			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
never			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
new			DocID: 0 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(12) Rank: 0.0  TF-IDF=(0.0)
newly			DocID: 2 <TEXT> Freq=(8) Rank: 1.8100473204482104  TF-IDF=(8.788898309344878)
news			DocID: 0 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
next			DocID: 2 <TEXT> Freq=(7) Rank: 0.6516310134177387  TF-IDF=(2.8382557567571505), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
next  			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
next-generation			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
non			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
non-attendance			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
none			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
normal			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
normally			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
note			DocID: 2 <TEXT> Freq=(10) Rank: 0.6924377745682938  TF-IDF=(4.054651081081644), DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644)
note:			DocID: 2 <TEXT> Freq=(17) Rank: 1.9962774187892276  TF-IDF=(18.676408907357867)
note: 			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
note: having			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
notes			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
notice			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
notified			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
november			DocID: 0 <TEXT> Freq=(3) Rank: 0.660963330269735  TF-IDF=(1.2163953243244932), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
now:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
now’			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
nrb			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
number			DocID: 2 <TEXT> Freq=(11) Rank: 1.9014256706551391  TF-IDF=(12.084735175349207)
numbers			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
number’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
number”			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
obligations			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
observing			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
obtain			DocID: 2 <TEXT> Freq=(9) Rank: 1.8461941534105861  TF-IDF=(9.887510598012987)
obtained			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
occur			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
offer			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
offered			DocID: 2 <TEXT> Freq=(16) Rank: 1.9849316742541248  TF-IDF=(17.577796618689757)
offering			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
offers			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
office			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
office  so			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
offices			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
office initially			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
official			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
officially			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
on-line			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
one			DocID: 2 <TEXT> Freq=(14) Rank: 1.9579073327332686  TF-IDF=(15.380572041353537)
online			DocID: 2 <TEXT> Freq=(5) Rank: 0.6041586241692053  TF-IDF=(2.027325540540822), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
only ”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
onsite			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
onward			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
open			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
opening			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
opens			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
opportunities			DocID: 0 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
opportunity			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
option			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
options			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
order			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
orientation			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
originally			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
or 			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
overlap			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
owe			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
page			DocID: 0 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(31) Rank: 0.0  TF-IDF=(0.0)
page:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
paid			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
parents			DocID: 0 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0)
part			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
partial			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
particular			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
partnerships			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
passed			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
password			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
paste			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
pause			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
pay			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
payment			DocID: 2 <TEXT> Freq=(8) Rank: 1.8100473204482104  TF-IDF=(8.788898309344878)
pdf			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
penalty			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
people			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
per			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
permission			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
permissions			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
permit			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
permitted			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
person			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
personal			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
personalized			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
phd			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
phone			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
phone:			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
picture			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
piece			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
place			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
placed			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
placement			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
places			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
plan			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(4) Rank: 0.5679542730139937  TF-IDF=(1.6218604324326575)
planning			DocID: 2 <TEXT> Freq=(4) Rank: 0.5679542730139937  TF-IDF=(1.6218604324326575), DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644)
plans			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
play			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
please			DocID: 2 <TEXT> Freq=(22) Rank: 0.7524055173916371  TF-IDF=(8.920232378379616), DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644)
pleasurable			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
point			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
poli			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
portal			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
portion			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
position			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
possibility			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
possible			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
post-doctoral			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
postdocs			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
posted			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
potentially			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
practical			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
pre-requisites			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
preferred			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
prerequisite			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
prerequisites			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
prescribed			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
press			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
preventing			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
previously			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
prior			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
privacy			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
problem			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
problems			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
proceeding			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
process			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
processes			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
processing			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
professional			DocID: 2 <TEXT> Freq=(3) Rank: 0.5163805574284754  TF-IDF=(1.2163953243244932), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
professor			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
professors/departments			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
program			DocID: 2 <TEXT> Freq=(16) Rank: 1.9849316742541248  TF-IDF=(17.577796618689757)
programmed			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
programs			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(4) Rank: 0.5679542730139937  TF-IDF=(1.6218604324326575)
progress			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
prompted			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
provide			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
provided			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
provides			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
providing			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
published			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
quality			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
quartier			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
quebec			DocID: 0 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
questions			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
quick			DocID: 0 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0)
range			DocID: 2 <TEXT> Freq=(4) Rank: 0.5679542730139937  TF-IDF=(1.6218604324326575), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
re-directed			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
reach			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
reached			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
read			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
reason			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
recalculation			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
receive			DocID: 2 <TEXT> Freq=(8) Rank: 1.8100473204482104  TF-IDF=(8.788898309344878)
received			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
recently			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
recommended			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
record			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
recreation			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
